FOLIO,MES DE COBRO,ANIO,DESDE,HASTA,M3 AGUA,PESO x M3,AGUA INDIVIDUAL,M3 COMBUSTIBLE,PESO x COMBUSTIBLE,COMBUSTIBLE,OTROS COBROS
13-3400,Junio,2023,73000,68000,5000,"1.331,800",6.659,5000,"4.840,688",24.203,
14-3676,Julio,2023,77000,73000,4000,"1.345,500",5.382,4000,"5.055,088",20.22,
15-3952,Agosto,2023,81000,77000,4000,"1.482,250",5.929,4000,"4.703,780",18.815,
16-4228,Septiembre,2023,86000,81000,5000,"1.345,400",6.727,5000,"5.519,046",27.595,
17-4504,Octubre,2023,91000,86000,5000,"1.419,000",7.905,5000,"4.761,364",23.087,
18-4781,Noviembre,2023,97000,91000,6000,"1.397,833",8.387,6000,"5.382,402",32.294,
19-5058,Diciembre,2023,102000,97000,5000,"1.811,200",9.056,5000,"5.290,976",26.455,
20-5335,Enero,2024,106000,102000,4000,"1.660,750",6.643,4000,"5.210,258",20.841,
21-5612,Febrero,2024,110000,106000,4000,"1.863,250",7.453,4000,,,
22-5889,Marzo,2024,115000,110000,5000,"1.224,600",6.123,5000,"4.925,648",24.628,22.861
